Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,Agent,Country,State or Province,City,Order Date,Ship Date,Profit,Quantity ordered new,Sales
Critical,0.1,122.99,70.2,1522,Earl Watts,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",0.74,Central,Chris,United States,Minnesota,Hopkins,14/06/2015,15/06/2015,-899.68,17,2026.91
High,0.04,11.34,5.01,1526,Larry Hall,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 188,0.36,South,Sam,United States,Alabama,Birmingham,10/02/2015,11/02/2015,-189.22,10,115.53
Critical,0.03,30.98,8.99,1527,Neil Parker,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,"Boston School Pro Electric Pencil Sharpener, 1670",0.58,South,Sam,United States,Alabama,Decatur,09/01/2015,11/01/2015,0.51,5,162.39
Low,0.03,65.99,5.26,1527,Neil Parker,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,8860,0.56,South,Sam,United States,Alabama,Decatur,30/03/2015,09/04/2015,-52.25,23,1316.03
Low,0.09,50.98,6.5,1527,Neil Parker,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Microsoft Natural Multimedia Keyboard,0.73,South,Sam,United States,Alabama,Decatur,21/05/2015,28/05/2015,70.18,28,1395.41
Critical,0.01,525.98,19.99,1528,Brad Stark,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind 300 Electric Binding Machine,0.37,South,Sam,United States,North Carolina,Eden,09/01/2015,11/01/2015,-161.92,9,4920.81
Critical,0.07,4.91,0.5,1531,Jon Ayers,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 508,0.36,South,Sam,United States,Florida,Palm Coast,17/01/2015,18/01/2015,-157.7,6,28.22
High,0.02,4.89,4.93,1533,Nicole Reid,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",0.66,Central,Chris,United States,Missouri,University City,06/02/2015,07/02/2015,-56.45,14,74.01
High,0.07,10.06,2.06,1533,Nicole Reid,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit¨ Designer Note Cubes¨,0.39,Central,Chris,United States,Missouri,University City,06/02/2015,07/02/2015,33.19,5,48.1
Low,0,599.99,24.49,1548,John Bray,Regular Air,Corporate,Technology,Copiers and Fax,Large Box,Canon Image Class D660 Copier,0.44,Central,Chris,United States,Indiana,Richmond,23/06/2015,25/06/2015,-367.17,18,11015.82
Low,0.07,17.7,9.47,1551,Laurence Flowers,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Portfile¨ Personal File Boxes,0.59,South,Sam,United States,Mississippi,Biloxi,25/06/2015,01/07/2015,-243.54,18,300.67
Critical,0.01,348.21,40.19,1552,Gary Koch,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bretford CR4500 Series Slim Rectangular Table,0.62,South,Sam,United States,Mississippi,Clinton,01/01/2015,04/01/2015,-337.09,2,723.54
Not Specified,0.03,12.28,6.35,1553,Tara Powers Underwood,Regular Air,Small Business,Office Supplies,Paper,Small Box,Staples Premium Bright 1-Part Blank Computer Paper,0.38,South,Sam,United States,Mississippi,Greenville,22/03/2015,24/03/2015,68.68,7,87.53
High,0.04,10.98,3.99,1554,Joan Floyd,Regular Air,Small Business,Office Supplies,Appliances,Small Box,Staples Surge Protector 6 outlet,0.58,South,Sam,United States,Mississippi,Gulfport,18/05/2015,18/05/2015,481.03,15,172.22
High,0.03,124.49,51.94,1554,Joan Floyd,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,0.63,South,Sam,United States,Mississippi,Gulfport,13/02/2015,14/02/2015,-4.02,7,894.88
Not Specified,0.06,2.89,0.99,1556,Carol Wood,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 482,0.38,South,Sam,United States,Virginia,Alexandria,01/06/2015,03/06/2015,-2.01,6,16.67
Not Specified,0.08,22.84,11.54,1556,Carol Wood,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1964,0.39,South,Sam,United States,Virginia,Alexandria,01/06/2015,03/06/2015,-477.37,9,195.16
Low,0.09,60.98,49,1557,James Nicholson,Regular Air,Consumer,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,0.59,South,Sam,United States,Virginia,Annandale,25/03/2015,02/04/2015,-954.76,15,879.62
Low,0.05,29.89,1.99,1557,James Nicholson,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",0.5,South,Sam,United States,Virginia,Annandale,25/03/2015,27/03/2015,219.47,12,361.19
Critical,0.1,226.67,28.16,1559,Zachary Maynard,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Hon GuestStacker Chair,0.59,South,Sam,United States,Virginia,Blacksburg,15/04/2015,17/04/2015,-390.77,5,1088.26
High,0.02,11.34,11.25,1561,Edwin Coley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Staples 1 Part Blank Computer Paper,0.36,Central,Chris,United States,Texas,Mansfield,01/03/2015,02/03/2015,-155.21,9,105.75
Critical,0.05,12.2,6.02,1561,Edwin Coley,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Advantus Panel Wall Certificate Holder - 8.5x11,0.43,Central,Chris,United States,Texas,Mansfield,13/04/2015,14/04/2015,-6.64,5,63.93
Medium,0.07,20.95,5.99,1574,Sherry Hurley,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,"Fellowes Basic 104-Key Keyboard, Platinum",0.65,South,Sam,United States,North Carolina,Fayetteville,09/02/2015,10/02/2015,27.23,19,391.4
Low,0.1,11.58,6.97,1580,Ronnie Nolan,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,"Peel & Seel¨ Recycled Catalog Envelopes, Brown",0.35,East,Erin,United States,Maine,Waterville,16/02/2015,20/02/2015,-8.4,1,14.53
Medium,0.03,19.04,6.38,1590,Lucille Buchanan,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"Eldon Expressionsª Desk Accessory, Wood Photo Frame, Mahogany",0.56,East,Erin,United States,Ohio,Willoughby,04/04/2015,04/04/2015,83.79,7,144.03
Medium,0.02,5.53,6.98,1593,Ronald O'Neill,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Poly Binders,0.39,Central,Chris,United States,Oklahoma,Bartlesville,04/04/2015,06/04/2015,-77.82,8,48.81
High,0.01,500.98,26,1595,Chad Henson,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troyª Executive Leather Low-Back Tilter,0.6,East,Erin,United States,West Virginia,Huntington,11/05/2015,12/05/2015,5078.54,14,7360.2
High,0.08,9.77,6.02,1595,Chad Henson,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,DAX Solid Wood Frames,0.48,East,Erin,United States,West Virginia,Huntington,11/05/2015,12/05/2015,23.28,9,89.06
High,0.09,3.28,0.98,1595,Chad Henson,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 329,0.59,East,Erin,United States,West Virginia,Huntington,11/05/2015,13/05/2015,17.75,42,134.97
Critical,0.1,9.11,2.15,1602,Frank Hess,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless Snap-Off¨ Rapid Letter, 8 1/2"" x 7""",0.4,East,Erin,United States,Maryland,Waldorf,10/04/2015,12/04/2015,-3.93,2,17.42
Critical,0.09,2.18,0.78,1603,Alex Watkins,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Stockwell Push Pins,0.52,East,Erin,United States,New York,Woodmere,16/01/2015,18/01/2015,2.45,9,19.12
Critical,0.05,179.29,29.21,1603,Alex Watkins,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,"Bevis Round Conference Table Top, X-Base",0.76,East,Erin,United States,New York,Woodmere,16/01/2015,18/01/2015,-537.28,1,186.64
Medium,0.05,1.98,4.77,1606,Don Rogers,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Avery Reinforcements for Hole-Punch Pages,0.4,East,Erin,United States,New York,Franklin Square,07/01/2015,08/01/2015,-14.36,1,3.53
Medium,0.07,699.99,24.49,1606,Don Rogers,Express Air,Home Office,Technology,Copiers and Fax,Large Box,Canon PC1060 Personal Laser Copier,0.41,East,Erin,United States,New York,Franklin Square,07/01/2015,08/01/2015,-2870.28,1,706.56
Medium,0.07,6783.02,24.49,1606,Don Rogers,Regular Air,Home Office,Technology,Office Machines,Large Box,Polycom ViewStationª ISDN Videoconferencing Unit,0.39,East,Erin,United States,New York,Franklin Square,07/01/2015,08/01/2015,77.98,2,13121.07
Not Specified,0.01,15.16,15.09,1607,Kathleen Huang Hall,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",0.39,East,Erin,United States,New York,Freeport,15/04/2015,15/04/2015,-200.86,7,110.93
Low,0.1,5.68,3.6,1607,Kathleen Huang Hall,Express Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme¨ Preferred Stainless Steel Scissors,0.56,East,Erin,United States,New York,Freeport,06/02/2015,10/02/2015,-33.3,21,118.35
High,0.03,2.16,6.05,1609,Jerry Ennis,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,0.37,West,William,United States,California,Sacramento,11/05/2015,12/05/2015,-90.59,7,17.31
High,0.03,9.71,9.45,1609,Jerry Ennis,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Filing/Storage Totes and Swivel Casters,0.6,West,William,United States,California,Sacramento,11/05/2015,11/05/2015,-36.9,2,23.56
Low,0.06,40.97,1.99,1614,Wayne Lutz,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"TDK 4.7GB DVD-R Spindle, 15/Pack",0.42,East,Erin,United States,Massachusetts,Hopkinton,08/04/2015,12/04/2015,341.2,12,494.49
High,0.09,12.88,4.59,1618,June Roberts,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,Martin-Yale Premier Letter Opener,0.82,Central,Chris,United States,Indiana,Highland,06/04/2015,06/04/2015,-175.13,13,158.13
High,0.02,45.99,4.99,1620,Gerald Petty,Express Air,Consumer,Technology,Telephones and Communication,Small Box,600 Series Non-Flip,0.57,East,Erin,United States,Pennsylvania,Lancaster,06/04/2015,07/04/2015,3.96,4,163.01
High,0.06,15.01,8.4,1623,Patrick Adcock,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",0.39,Central,Chris,United States,Indiana,Schererville,24/05/2015,26/05/2015,1.62,22,333.04
High,0.09,40.48,19.99,1623,Patrick Adcock,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Keytronic Designer 104- Key Black Keyboard,0.77,Central,Chris,United States,Indiana,Schererville,24/05/2015,26/05/2015,65.39,12,472.44
High,0.05,12.28,6.13,1623,Patrick Adcock,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Recycled Eldon Regeneration Jumbo File,0.57,Central,Chris,United States,Indiana,Schererville,24/05/2015,25/05/2015,1.34,1,18.73
Medium,0.08,213.45,14.7,1625,Molly Browning,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,0.59,East,Erin,United States,New York,Glen Cove,27/03/2015,29/03/2015,1674.75,12,2427.18
Medium,0.1,55.98,13.88,1625,Molly Browning,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1882,0.36,East,Erin,United States,New York,Glen Cove,27/03/2015,29/03/2015,300.05,8,434.85
Medium,0,16.06,8.34,1625,Molly Browning,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",0.59,East,Erin,United States,New York,Glen Cove,27/03/2015,28/03/2015,-28.09,1,19.16
Medium,0,209.37,69,1625,Molly Browning,Regular Air,Home Office,Furniture,Tables,Large Box,Hon 2111 Invitationª Series Corner Table,0.79,East,Erin,United States,New York,Glen Cove,16/02/2015,18/02/2015,-263.11,11,1959.88
High,0.06,43.57,16.36,1627,Aaron Day,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Trav-L-File Heavy-Duty Shuttle II, Black",0.55,South,Sam,United States,Tennessee,Greeneville,28/05/2015,30/05/2015,-38.81,17,710.16
High,0.08,8.09,7.96,1632,Lori Wolfe,Express Air,Home Office,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,South,Sam,United States,Mississippi,Hattiesburg,15/01/2015,16/01/2015,15.98,6,48.25
High,0.02,25.99,5.37,1632,Lori Wolfe,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Box,"BOSTON¨ Ranger¨ #55 Pencil Sharpener, Black",0.56,South,Sam,United States,Mississippi,Hattiesburg,15/04/2015,17/04/2015,-88.16,9,243.24
Not Specified,0.03,5.98,3.85,1633,Gerald Raynor,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",0.68,South,Sam,United States,Mississippi,Horn Lake,10/02/2015,12/02/2015,-76.11,6,38.54
Not Specified,0.08,100.97,14,1634,Katherine W Epstein,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,0.37,South,Sam,United States,Mississippi,Jackson,09/04/2015,10/04/2015,-73.49,15,1483.16
Critical,0.08,115.99,56.14,1636,Sidney Greenberg,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,0.4,West,William,United States,California,Salinas,14/01/2015,16/01/2015,-272.86,5,562.93
Critical,0.08,4.28,0.94,1636,Sidney Greenberg,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 336,0.56,West,William,United States,California,Salinas,14/01/2015,17/01/2015,10.58,7,29.18
High,0.04,136.98,24.49,1636,Sidney Greenberg,Express Air,Home Office,Furniture,Office Furnishings,Large Box,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",0.59,West,William,United States,California,Salinas,12/01/2015,14/01/2015,1127.55,12,1634.13
Critical,0.08,55.48,6.79,1639,Marvin Rollins,Regular Air,Home Office,Office Supplies,Paper,Small Box,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",0.37,East,Erin,United States,Connecticut,Stamford,26/02/2015,28/02/2015,147.76,4,214.14
Low,0.09,107.53,5.81,1644,Sam Woodward,Regular Air,Small Business,Furniture,Office Furnishings,Medium Box,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",0.65,Central,Chris,United States,Texas,Friendswood,14/06/2015,16/06/2015,69.55,1,100.79
Not Specified,0.06,3.29,1.35,1646,Eugene Brewer Knox,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Acco¨ Hot Clipsª Clips to Go,0.4,East,Erin,United States,New York,Bethpage,15/03/2015,17/03/2015,8.53,11,35.97
Critical,0.08,46.89,5.1,1648,Nina Bowles,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Bionaire Personal Warm Mist Humidifier/Vaporizer,0.46,Central,Chris,United States,Illinois,Woodstock,25/03/2015,27/03/2015,507.63,17,735.7
Critical,0.05,12.98,3.14,1648,Nina Bowles,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme¨ 8"" Straight Scissors",0.6,Central,Chris,United States,Illinois,Woodstock,25/03/2015,25/03/2015,38.23,18,225.59
Critical,0.03,48.58,3.99,1649,Roy Hardison,Express Air,Corporate,Office Supplies,Appliances,Small Box,Belkin Premiere Surge Master II 8-outlet surge protector,0.56,East,Erin,United States,New York,Woodmere,24/02/2015,26/02/2015,100.13,3,145.12
High,0.05,6.48,2.74,1650,Dan Lamm,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Sony MFD2HD Formatted Diskettes, 10/Pack",0.71,South,Sam,United States,North Carolina,Asheboro,09/05/2015,09/05/2015,15.1,15,94.27
High,0.09,12.53,0.5,1650,Dan Lamm,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 485,0.38,South,Sam,United States,North Carolina,Asheboro,09/05/2015,10/05/2015,14.91,7,82.21
High,0.08,65.99,8.99,1650,Dan Lamm,Express Air,Corporate,Technology,Telephones and Communication,Small Box,i270,0.55,South,Sam,United States,North Carolina,Asheboro,09/05/2015,11/05/2015,-135.23,8,417.47
Not Specified,0,101.41,35,1653,Charles Cline,Express Air,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Regal Shelving Units,0.82,West,William,United States,California,Thousand Oaks,24/01/2015,25/01/2015,-457.73,10,1104.32
Not Specified,0.1,95.99,4.9,1653,Charles Cline,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,T60,0.56,West,William,United States,California,Thousand Oaks,24/01/2015,25/01/2015,-268.66,2,149.8
High,0.1,3.6,2.2,1665,Elsie Pridgen,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",0.39,West,William,United States,California,Laguna Hills,26/02/2015,27/02/2015,-8.28,2,6.97
Low,0.03,35.41,1.99,1670,Carolyn Bowling,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,Imation DVD-RAM discs,0.43,South,Sam,United States,Virginia,Blacksburg,24/04/2015,26/04/2015,1912.42,10,367.52
Low,0,142.86,19.99,1670,Carolyn Bowling,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,0.56,South,Sam,United States,Virginia,Blacksburg,24/04/2015,03/05/2015,-739.33,11,1576.35
Low,0.1,4.13,0.99,1671,Mitchell Ross,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 491,0.39,South,Sam,United States,Virginia,Burke,09/02/2015,13/02/2015,-40.53,13,52.16
Critical,0.03,223.98,15.01,1671,Mitchell Ross,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL200 Manual Binding Machine,0.38,South,Sam,United States,Virginia,Burke,12/05/2015,13/05/2015,0.7,21,4881.84
Low,0.02,284.98,69.55,1672,Sidney Scarborough,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Global Commerceª Series High-Back Swivel/Tilt Chairs,0.6,South,Sam,United States,Virginia,Charlottesville,07/06/2015,12/06/2015,15.53,3,926.3
Low,0.08,55.48,14.3,1672,Sidney Scarborough,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 194,0.37,South,Sam,United States,Virginia,Charlottesville,07/06/2015,09/06/2015,-225.56,17,942.53
Medium,0.07,13.73,6.85,1679,Jeanne Nguyen,Regular Air,Consumer,Furniture,Office Furnishings,Wrap Bag,DAX Wood Document Frame.,0.54,East,Erin,United States,Ohio,Fairborn,20/03/2015,21/03/2015,-22.72,21,276.64
Low,0.09,30.98,19.51,1680,Esther Whitaker,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,Staples Colored Interoffice Envelopes,0.36,East,Erin,United States,Ohio,Fairfield,03/05/2015,05/05/2015,-163.53,18,514.62
Low,0.03,49.34,10.25,1680,Esther Whitaker,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Electrix Fluorescent Magnifier Lamps & Weighted Base,0.57,East,Erin,United States,Ohio,Fairfield,03/05/2015,05/05/2015,554.77,17,817.32
Not Specified,0.04,6.28,5.41,1682,Julie Edwards,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon¨ 200 Classª Desk Accessories,0.53,Central,Chris,United States,Illinois,Chicago,14/02/2015,16/02/2015,-38.38,43,284.48
Not Specified,0.08,4.98,4.7,1682,Julie Edwards,Regular Air,Consumer,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),0.38,Central,Chris,United States,Illinois,Chicago,14/03/2015,15/03/2015,-56.35,47,225.98
Not Specified,0.04,6.28,5.41,1683,Wesley Corbett,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon¨ 200 Classª Desk Accessories,0.53,Central,Chris,United States,Texas,Conroe,14/02/2015,16/02/2015,-19.96,11,72.77
Not Specified,0.08,4.98,4.7,1683,Wesley Corbett,Regular Air,Consumer,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),0.38,Central,Chris,United States,Texas,Conroe,14/03/2015,15/03/2015,-56.35,12,57.7
Low,0.08,2.08,5.33,1686,Lynn O'Donnell,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon¨ Wave Desk Accessories,0.43,Central,Chris,United States,Illinois,Elgin,03/03/2015,10/03/2015,-129.01,9,19.67
High,0,48.91,35,1689,Larry Church,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Industrial Shelving,0.83,Central,Chris,United States,Indiana,Highland,24/03/2015,25/03/2015,-628.38,10,514.79
Low,0.05,115.99,5.26,1690,Neil Bailey,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,636,0.57,East,Erin,United States,Pennsylvania,Harrisburg,24/01/2015,28/01/2015,616.54,9,893.53
Not Specified,0.09,95.43,19.99,1690,Neil Bailey,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Stor/Drawer¨ Steel Plusª Storage Drawers,0.79,East,Erin,United States,Pennsylvania,Harrisburg,01/06/2015,02/06/2015,-143.24,22,2053.6
Not Specified,0,6.84,8.37,1692,Rhonda Schroeder,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",0.58,Central,Chris,United States,Kansas,Newton,23/01/2015,24/01/2015,-123.18,5,37.89
Not Specified,0.07,30.98,5.76,1693,Melinda Thornton,Regular Air,Consumer,Office Supplies,Paper,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",0.4,South,Sam,United States,Virginia,Reston,23/01/2015,25/01/2015,-28.8,11,343.79
Low,0.01,15.67,1.39,1693,Melinda Thornton,Express Air,Consumer,Office Supplies,Envelopes,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",0.38,South,Sam,United States,Virginia,Reston,11/05/2015,11/05/2015,-273.98,11,188.09
Medium,0,13.43,5.5,1697,Holly Osborne,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Fellowes Personal Hanging Folder Files, Navy",0.57,South,Sam,United States,Arkansas,Hot Springs,16/01/2015,17/01/2015,-253.78,9,129.54
Low,0.05,3.98,5.26,1699,Joseph Hurst,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Presentation Index for Binding Systems,0.38,East,Erin,United States,Pennsylvania,Levittown,25/03/2015,29/03/2015,-152.52,12,49.44
Low,0.01,6.48,5.4,1699,Joseph Hurst,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 207,0.37,East,Erin,United States,Pennsylvania,Levittown,25/03/2015,25/03/2015,-18.85,2,14.29
Medium,0.05,14.81,13.32,1702,Sandra Berry,Regular Air,Home Office,Office Supplies,Appliances,Small Box,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",0.43,South,Sam,United States,Mississippi,Meridian,17/01/2015,20/01/2015,-220.05,3,45.28
Medium,0.05,4.2,2.26,1702,Sandra Berry,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",0.36,South,Sam,United States,Mississippi,Meridian,17/01/2015,19/01/2015,20.39,3,13.57
Medium,0.05,5.68,1.39,1708,Lillian Day,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Staples Standard Envelopes,0.38,East,Erin,United States,Ohio,Shaker Heights,17/01/2015,18/01/2015,38.28,10,55.48
Not Specified,0.03,205.99,3,1708,Lillian Day,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,6185,0.58,East,Erin,United States,Ohio,Shaker Heights,20/05/2015,21/05/2015,3670.35,29,5319.35
Not Specified,0.01,14.28,2.99,1709,Dennis Bowen,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Premier Heavy-Duty Binder with Round Locking Rings,0.39,East,Erin,United States,Pennsylvania,Pottstown,21/01/2015,22/01/2015,21,2,30.44
Medium,0.04,95.43,19.99,1709,Dennis Bowen,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Stor/Drawer¨ Steel Plusª Storage Drawers,0.79,East,Erin,United States,Pennsylvania,Pottstown,10/05/2015,12/05/2015,13.54,33,3251.76
Not Specified,0.07,7.59,4,1711,Sharon Long,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot¨ Doorstop, Safety Yellow",0.42,South,Sam,United States,Georgia,Marietta,16/03/2015,18/03/2015,-167.05,3,22.48
Low,0.03,11.66,7.95,1712,Regina Langley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Hunt BOSTON¨ Vista¨ Battery-Operated Pencil Sharpener, Black",0.58,South,Sam,United States,Georgia,Martinez,11/04/2015,20/04/2015,-31.09,22,267.32
High,0.01,23.99,6.3,1713,Rosemary Stark,Regular Air,Corporate,Technology,Office Machines,Medium Box,TI 36X Solar Scientific Calculator,0.38,South,Sam,United States,Georgia,Newnan,29/05/2015,31/05/2015,-6.2,11,284.39
Low,0.01,300.98,64.73,1718,Kathy Shah,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",0.56,South,Sam,United States,North Carolina,Garner,08/03/2015,15/03/2015,-48.87,3,974.14
Medium,0.06,16.48,1.99,1719,Russell W Melton,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Maxell DVD-RAM Discs,0.42,South,Sam,United States,Alabama,Northport,17/01/2015,19/01/2015,-144.59,8,128.13
High,0.04,12.44,6.27,1721,Jennifer Zimmerman,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,Eldon Simplefile¨ Box Office¨,0.57,South,Sam,United States,Arkansas,Jonesboro,16/05/2015,17/05/2015,-258.57,37,464.94
Low,0.1,49.99,19.99,1723,Constance Flowers,Express Air,Corporate,Technology,Computer Peripherals,Small Box,US Robotics 56K V.92 Internal PCI Faxmodem,0.45,West,William,United States,California,San Diego,31/01/2015,05/02/2015,13.51,46,2188.06
Medium,0.05,6.68,5.66,1723,Constance Flowers,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1923,0.37,West,William,United States,California,San Diego,07/02/2015,09/02/2015,-66.48,46,320.93
Medium,0.03,17.7,9.47,1723,Constance Flowers,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Portfile¨ Personal File Boxes,0.59,West,William,United States,California,San Diego,07/02/2015,07/02/2015,-52.33,14,261.85
High,0.04,12.44,6.27,1723,Constance Flowers,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,Eldon Simplefile¨ Box Office¨,0.57,West,William,United States,California,San Diego,16/05/2015,17/05/2015,-59.06,146,1834.61
High,0.05,35.99,1.1,1725,Linda Blake,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Accessory35,0.55,East,Erin,United States,Ohio,Hilliard,07/05/2015,09/05/2015,149.17,9,261.56
